teal torus glow decay (y=556, outward to the left):
   x=  40 (13, 16, 20)
   x=  52 (17, 19, 22)
   x=  64 (18, 23, 24)
   x=  76 (22, 29, 28)
   x=  88 (26, 34, 35)
   x= 100 (34, 44, 45)
   x= 112 (44, 65, 63)
   x= 124 (215, 254, 253)
   x= 136 (180, 253, 253)
   x= 148 (153, 254, 254)
   x= 160 (252, 253, 253)
   x= 172 (253, 253, 252)
   x= 184 (231, 254, 253)
   x= 196 (254, 254, 253)
aqua star glow decay (y=696, outward to the left):
   x= 300 (84, 81, 45)
   x= 312 (83, 81, 51)
   x= 324 (82, 79, 56)
   x= 336 (79, 78, 67)
   x= 348 (79, 87, 99)
   x= 360 (162, 218, 242)
   x= 372 (160, 222, 243)
   x= 384 (159, 223, 242)
   x= 396 (157, 224, 243)
   x= 408 (149, 218, 242)
   x= 420 (162, 205, 242)
   x= 432 (49, 69, 110)
baseline background (y=760, right side):
   x=1300 (26, 22, 22)
   x=1340 (20, 18, 18)
   x=1380 (16, 14, 15)
   x=1420 (15, 13, 16)
   x=1460 (18, 13, 18)
   x=1500 (20, 13, 18)

